ID,독자(인물),술어(관계),저서(문헌),태도(점수),근거(문헌),판단내부저자(인물),작업자,추정상태,추정근거,근거 원문,비고
288,김기림,read,랭보,,단념,,전세진,Suspended, 「돈•판」이 그랬고 「베토벤이 그랬고 「장•크리스토프」의 주인공이 그랬고 「랭보」가 그랬고 「로렌스」가 그랬고 「고호」가 그랬다. ,,
4,김기림,read,집필가의 양심 문제: 작품표절행위를 계함(1),3,표절 행위에 대한 저널리즘의 책임,,정성훈,Confirmed,아마 今年봄일이라고 記憶된다 先輩李瑄根氏가 當時 某々雜誌와 新聞에 發表된 某々의 剽窃行爲를指摘하야우리들不愉快하게한것은――,,
5,김기림,read,집필가의 양심 문제: 작품표절행위를 계함(승전),3,표절 행위에 대한 저널리즘의 책임,,정성훈,Confirmed,아마 今年봄일이라고 記憶된다 先輩李瑄根氏가 當時 某々雜誌와 新聞에 發表된 某々의 剽窃行爲를指摘하야우리들不愉快하게한것은――,,
6,김기림,read,김태오 씨의 『근대문학의 도회성』에 대하야,3,표절 행위에 대한 저널리즘의 책임,,정성훈,Confirmed,한데 最近 東亞日報學藝欄에서 匿名人은ᄯᅩ다시 金泰午라는분의 剽窃行爲가 神聖을目標로하는 基督申報를冒瀆(?)하엿다는것을 摘發하엿다 / 그러나 우리들에게잇서서 이러한 詐欺行爲를 摘發하는것만이 우리의할일인것이아니다 萬若에論者가 摘發하는일에만始終한다면 우리는그를 반가워하고십지안타 웨그러냐하면그의일에는 露骨한惡意만이 잇는ᄭᅡ닭에──,,
7,김기림,criticize,조선문단,1,표절 행위에 대한 저널리즘의 책임,,정성훈,Confirmed,一方에잇서서 너무나無反省한 卑劣하고私己的派閥主義가 만흔文士를濫造하는弊風이 어린藝術家志願者의野心을極端으로 挑發하엿다 이罪를가장만히犯한것은 雜誌 『朝鮮文壇』과 最近의 『朝鮮詩壇』이며現在某々 新聞의學藝欄은이를幇助하고잇다 일직히 文壇登龍門의 일홈에의하야 雜誌 『朝鮮文壇』은 ××型의 文士를얼마나 宏壯한形勢로 文字그대로 登龍門식혓든가?,,
,김기림,criticize,조선시단,1,표절 행위에 대한 저널리즘의 책임,,정성훈,Confirmed,ᄯᅡ라서『朝鮮詩壇』과 某々新聞學藝欄이 至極히雜박한中學生의 雜記帳처럼되여버린 理由도여기잇다,,
,김기림,cite,폴 엘뤼아르,5,피에로의 독백: 포에지에 대한 사색의 단편,,정성훈,Presumed,『벌거숭이思想 感動은벌거숭이女子와가티굿세다』─부루톤･엘류아-르─,,
,김기림,cite,게오르크 찰맨,3,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Confirmed,나는 잠깐 게오르크 찰맨을 인용하리라.,,(게오르크 찰맨의 글 실제 인용)
,김기림,read,악의 꽃,4,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Presumed,벌써 생활을 잃어버린 인텔리겐치아의 최초의 사람을 우리는 『악의 꽃』의 시인 보들레르에게서 발견하였다.,,
,김기림,read,아르튀르 랭보,4,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Presumed,"아르튀르 랭보, 베를렌, 아서 시먼스 등의 시 속에는 잃어버린 생활에 대한 애수-노스탤지어의 황색의 향기가 얼마나 농후한가.",,
,김기림,read,베를렌,4,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Presumed,"아르튀르 랭보, 베를렌, 아서 시먼스 등의 시 속에는 잃어버린 생활에 대한 애수-노스탤지어의 황색의 향기가 얼마나 농후한가.",,
,김기림,read,아서 시먼스,4,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Presumed,"아르튀르 랭보, 베를렌, 아서 시먼스 등의 시 속에는 잃어버린 생활에 대한 애수-노스탤지어의 황색의 향기가 얼마나 농후한가.",,
,김기림,read,헤르만 바,5,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Presumed,"비엔나의 헤르만 바, 백이의의 에밀 벨아란 등은 새 세기의 대표적 전령이었다.",,
,김기림,read,에밀 벨아란,5,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Presumed,"비엔나의 헤르만 바, 백이의의 에밀 벨아란 등은 새 세기의 대표적 전령이었다.",,
,김기림,read,헤겔,3,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Suspended,무가 유로 변화하는 것은 오직 헤겔의 논리학에서만 가능하다.,,
,김기림,cite,카우츠키,4,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Confirmed,"일찍이 ""...... 자본주의적 생산 방법은 예술 및 과학을 발달시키고 그리하여......""(카우츠키)",,
,김기림,cite,부하린,4,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Confirmed,"그리고 ""...... 자본가적 발달 과정에 있어서 소멸하지 아니하고 도리어 생장하는......""(부하린)",,
,김기림,read,춘원,3,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Presumed,춘원 문학자의 일군을 그리고 러스킨·카펜터·톨스토이 등등에서 그 경향의 발현과 실행의 대표자를 찾을 수 있다.,,
,김기림,read,러스킨,3,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Suspended,춘원 문학자의 일군을 그리고 러스킨·카펜터·톨스토이 등등에서 그 경향의 발현과 실행의 대표자를 찾을 수 있다.,,
,김기림,read,카펜터,3,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Suspended,춘원 문학자의 일군을 그리고 러스킨·카펜터·톨스토이 등등에서 그 경향의 발현과 실행의 대표자를 찾을 수 있다.,,
,김기림,read,톨스토이,3,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Suspended,춘원 문학자의 일군을 그리고 러스킨·카펜터·톨스토이 등등에서 그 경향의 발현과 실행의 대표자를 찾을 수 있다.,,
,김기림,cite,루트거스,3,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Confirmed,헤게모니와 인텔리겐치아의 접근에 대하여는 루트거스가 경계한 일도 있다.,,(루트거스의 글 실제 인용)
,김기림,read,앙드레 지드,3,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Suspended,"불란서에 있어서의 앙드레 지드, 폴 발레리, 브르통 등이 더듬고 있는 길을 아메리카의 신지식군의 특성과 아무 공통점도 없다고 할 수 있을까.",,
,김기림,read,폴 발레리,3,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Suspended,"불란서에 있어서의 앙드레 지드, 폴 발레리, 브르통 등이 더듬고 있는 길을 아메리카의 신지식군의 특성과 아무 공통점도 없다고 할 수 있을까.",,
,김기림,read,브르통,3,인텔리의 장래-그 위기와 분화 과정에 관한 소연구,,전세진,Suspended,"불란서에 있어서의 앙드레 지드, 폴 발레리, 브르통 등이 더듬고 있는 길을 아메리카의 신지식군의 특성과 아무 공통점도 없다고 할 수 있을까.",,
,김기림,criticize,『홍염』,4,『홍염』에 나타난 의식의 흐름,,전세진,Confirmed,이러한 의미에서 『홍염』은 여명의 하늘을 붉게 태우는 적극적 의지로서으 ㅣ홍염이 아니고 작자의회고의 세계 속에서 고요히 타오르는 향수와 추억의 홍염이다.,,
,김기림,read,『노령근해』,3,『홍염』에 나타난 의식의 흐름,,전세진,Confirmed,1931년 전반기에 우리들은 두 개의 단편집 『홍염』과 『노령근해』를 가졌다.,,
,김기림,read,벨 아미,5,오후의 무명작가들 2,,유건수,confirmed,그러기에자네는 그일흠을『모—팟쌍』의작푼에서 독창적(獨創的)으로빌어왓지어대까지든지 독창(獨創)이니까,,
,김기림,criticize,염상섭,4,오후의 무명작가들 4,,유건수,confirmed,아모래도 상섭(想涉)가튼분의붓이 훨신그기교(技巧)에잇서서는 건실(健實)하고균제(均齊)된□이잇지안흔가고도 말햇다,,
,김기림,criticize,최서해,3,오후의 무명작가들 4,,유건수,confirmed,그러나이러한상업주의(商業主義)의몰비판(沒批判)한선전(宣傳)에도 불구(不拘)하고개인적(個人的)으로는 서해(曙海)의전락(轉落)되는생활(生活)의암야(暗夜)에 동정(同情)하면서도서해(曙海)를아니 그박게도만흔서해(曙海)를우리들의예술(藝術)의영역(領域)에서 청산(淸算)하지안흐면안된다,,혼합된 평가에 대한 부분 어떻게 설정했는지 확인 필요
,김기림,read,프로이트,3,오후의 무명작가들 4,,유건수,suspended,우리는 반듯이『푸로이드』의 정신분석학(精神分析學)을 인증(引證)하지 안흘지라도 그것은 그작가(作家)의 잠재의식(潜在意識) 즉식역이전(即識閾以前)의 세계(世界)로부터 나오는 다시 말하면 그 작가(作家)의 내부(內部)의 참인간(人間)의 말인 때문이다,,
,김기림,criticize,매월,1,오후의 무명작가들 5,,유건수,confirmed,『매월(梅月)』에서 죽은 후 서해(曙海)의 예술(藝術)은 다시 소생(蘇生)할 수는 업는가,,
,김기림,cite,플로베르,2,시인과 시의 개념 1,,유건수,presumed,,,
,김기림,read,악의 꽃,2,시인과 시의 개념 2,,유건수,presumed,,,
,김기림,read,가을의 시,2,시인과 시의 개념 2,,유건수,presumed,,,
,김기림,read,알베르 사맹,2,시인과 시의 개념 2,,유건수,presumed,,,
,김기림,read,마야콥스키,4,시인과 시의 개념 2,,유건수,suspended,,,
,김기림,read,예세닌,4,시인과 시의 개념 2,,유건수,suspended,,,
,김기림,translate,미국 비평에서의 위기,4,최근의 미국평론단 인상주의의 일군: 그랜빌 힉스 뉴 매시즈지에서(상),김준환,정성훈,Confirmed,"김기림이 힉스의 「미국 비평의 위기」(“The Crisis in American Criticism” 1933.2)를 최근의 미국 평론단(「그랜빌·힉스」의 역, 「뉴·매시즈」지에서」(1933년 8월 4~6))라는 제목으로 단순히 번역·기고한 것일 뿐이라고 크게 의미를 두지 않을 수도 있을 것이다. 하지만, 김기림이 「시인과 시의 개념」과 「상아탑의 비극」에서 이미 20세기 초 서양 예술의 자기 붕괴를 “자본주의”의 문맥에서 읽은 점(2권 293, 317)을 염두에 둔다면, 그가 “생활로부터 문학을 격리”시키는 문학, “자본주의 안정기의 지배적인 계급철학을 제공”하거나 “유한계급의 문화를 지으려고 탐색하는” 예술가, 그리고 “엘리엇의 사업에서와 같이 반동적 철학” 등과 연결된 기술적 비평을 비판한 힉스의 글을 번역한 것이 결코 우연만은 아닐 것이다.",,
,김기림,translate,미국 비평에서의 위기,4,최근의 미국평론단 문학작품의 효과 문제: 그랜빌 힉스 뉴 매시즈지에서(중),김준환,정성훈,Confirmed,"김기림이 힉스의 「미국 비평의 위기」(“The Crisis in American Criticism” 1933.2)를 최근의 미국 평론단(「그랜빌·힉스」의 역, 「뉴·매시즈」지에서」(1933년 8월 4~6))라는 제목으로 단순히 번역·기고한 것일 뿐이라고 크게 의미를 두지 않을 수도 있을 것이다. 하지만, 김기림이 「시인과 시의 개념」과 「상아탑의 비극」에서 이미 20세기 초 서양 예술의 자기 붕괴를 “자본주의”의 문맥에서 읽은 점(2권 293, 317)을 염두에 둔다면, 그가 “생활로부터 문학을 격리”시키는 문학, “자본주의 안정기의 지배적인 계급철학을 제공”하거나 “유한계급의 문화를 지으려고 탐색하는” 예술가, 그리고 “엘리엇의 사업에서와 같이 반동적 철학” 등과 연결된 기술적 비평을 비판한 힉스의 글을 번역한 것이 결코 우연만은 아닐 것이다.",,
,김기림,translate,미국 비평에서의 위기,4,최근의 미국평론단 프루스트의 가치는 어떻게 규정할까?: 그랜빌 힉스 뉴 매시즈지에서(하),김준환,정성훈,Confirmed,"김기림이 힉스의 「미국 비평의 위기」(“The Crisis in American Criticism” 1933.2)를 최근의 미국 평론단(「그랜빌·힉스」의 역, 「뉴·매시즈」지에서」(1933년 8월 4~6))라는 제목으로 단순히 번역·기고한 것일 뿐이라고 크게 의미를 두지 않을 수도 있을 것이다. 하지만, 김기림이 「시인과 시의 개념」과 「상아탑의 비극」에서 이미 20세기 초 서양 예술의 자기 붕괴를 “자본주의”의 문맥에서 읽은 점(2권 293, 317)을 염두에 둔다면, 그가 “생활로부터 문학을 격리”시키는 문학, “자본주의 안정기의 지배적인 계급철학을 제공”하거나 “유한계급의 문화를 지으려고 탐색하는” 예술가, 그리고 “엘리엇의 사업에서와 같이 반동적 철학” 등과 연결된 기술적 비평을 비판한 힉스의 글을 번역한 것이 결코 우연만은 아닐 것이다.",,
,김기림,criticize,흙(이광수),3,신문소설 올림픽 시대,,정성훈,Confirmed,즉 그는 근래에 이를스록 그 예술에서 생활을 파악하려고 노력하는 듯 하다는 것이다. 따라서 『흙』이 신문소설로써 성공할른지 말른지는 얼른 단정을 내리기 어렵다. 그러나 氏는 항상 그의 작품의 周團에 엇던 유형의 一群의 독자를 吸引하고 잇다. 그럼으로 『端宗哀史』의 충실한 독자를 氏는 『흙』에 잇어서도 일허버리지 안코 잇으리라.,,
,김기림,criticize,마도의 향불,2,신문소설 올림픽 시대,,정성훈,Confirmed,결국이 소설도 폭로소설인 듯한 표제가 암시하는 목적은 거두지 못하고 말지나 안을가 보아서 『香불』의 압길이 걱정된다.,,
,김기림,criticize,임거정전,4,신문소설 올림픽 시대,,정성훈,Confirmed,고름과 가티 別段이 긴장이 없는 (또 취할 것이 없는) 시간의 연속인 朝鮮史上에서 가장 긴장되려고 된 의미기푼 순간이나 장면이나 인물을 적발하야 생명을 부어서 그러고 충분이 그 시대의 史的背景을 살리면서 우리의 아패 재현식혀 준다면 그 작가가 엇더한 분이건 위대한 작가라고 부르는데 우리는 주저하지 안으련다. / 年前에 林巨正傳이 同紙에 연재되엿슬 때에 이르킨 物論을 이번에도 다시 이르키리라고 생각된다.,,
,김기림,criticize,명일(최독견),2,신문소설 올림픽 시대,,정성훈,Confirmed,그런데 우연이 가튼 시간 京城驛에서 나린 미지의 두 남녀가 우연이 가튼 여관에 드럿다. 또 우연이 아래 웃방에 손님되엿다. 필경 우연이 서로 알게 되고 그것이 우연이 연애에까지 발전할 것은 물론이다. 결론이 너무나 환해보이고 그우에 그 우연성이 인공적에 지나치게 흐르지나 안엇슬가?,,
,김기림,criticize,백구(염상섭),4,신문소설 올림픽 시대,,정성훈,Confirmed,"방대한 3부작을 계획하는 등 意氣 점점 왕성한 橫步가 『白鳩』 속에서 얼마나 아름운 이야기를 짜낼른지 下回를 보아야 알 일이지만 春園, 碧初 등의 노장을 흘겨보면서 步武當當하게 진을 펴는 것이 바라보는 사람의 가슴에 안심준다.",,
,김기림,criticize,표본실의 청개구리,4,신문소설 올림픽 시대,,정성훈,Confirmed,신문소설인 까닭에 『標本室의 靑개고리』흐르던 예술의 향기 노푸던 昔日의 자최는 얼마 보이지 안을 것은 예상과 과이 틀림이 없을 것이다.,,
